Burnley, 1-0, Middlesbrough, 2016, 12, http://www.bbc.com/sport/football/38361151
Chelsea, 3-0, AFC Bournemouth, 2016, 12, http://www.bbc.com/sport/football/38361150
Leicester City, 0-2, Everton, 2016, 12, http://www.bbc.com/sport/football/38361078
Manchester United, 3-1, Sunderland, 2016, 12, http://www.bbc.com/sport/football/38361122
Swansea City, 1-4, West Ham United, 2016, 12, http://www.bbc.com/sport/football/38361171
Hull City, 0-3, Manchester City, 2016, 12, http://www.bbc.com/sport/football/38361124
Liverpool, 4-1, Stoke City, 2016, 12, http://www.bbc.com/sport/football/38375153
Southampton, 1-4, Tottenham Hotspur, 2016, 12, http://www.bbc.com/sport/football/38387814
Hull City, 2-2, Everton, 2016, 12, http://www.bbc.com/sport/football/38412499
Burnley, 4-1, Sunderland, 2016, 12, http://www.bbc.com/sport/football/38424664
Chelsea, 4-2, Stoke City, 2016, 12, http://www.bbc.com/sport/football/38424663
Leicester City, 1-0, West Ham United, 2016, 12, http://www.bbc.com/sport/football/38424649
Manchester United, 2-1, Middlesbrough, 2016, 12, http://www.bbc.com/sport/football/38424650
Southampton, 1-2, West Bromwich Albion, 2016, 12, http://www.bbc.com/sport/football/38424666
Swansea City, 0-3, AFC Bournemouth, 2016, 12, http://www.bbc.com/sport/football/38424667
Liverpool, 1-0, Manchester City, 2016, 12, http://www.bbc.com/sport/football/38424665
Watford, 1-4, Tottenham Hotspur, 2017, 1, http://www.bbc.com/sport/football/38429666
Arsenal, 2-0, Crystal Palace, 2017, 1, http://www.bbc.com/sport/football/38429686
Middlesbrough, 0-0, Leicester City, 2017, 1, http://www.bbc.com/sport/football/38433596
Everton, 3-0, Southampton, 2017, 1, http://www.bbc.com/sport/football/38433524
Manchester City, 2-1, Burnley, 2017, 1, http://www.bbc.com/sport/football/38433598
Sunderland, 2-2, Liverpool, 2017, 1, http://www.bbc.com/sport/football/38433522
West Bromwich Albion, 3-1, Hull City, 2017, 1, http://www.bbc.com/sport/football/38433597
West Ham United, 0-2, Manchester United, 2017, 1, http://www.bbc.com/sport/football/38433519
AFC Bournemouth, 3-3, Arsenal, 2017, 1, http://www.bbc.com/sport/football/38440999
Crystal Palace, 1-2, Swansea City, 2017, 1, http://www.bbc.com/sport/football/38441016
Stoke City, 2-0, Watford, 2017, 1, http://www.bbc.com/sport/football/38440966
Tottenham Hotspur, 2-0, Chelsea, 2017, 1, http://www.bbc.com/sport/football/38447903
Tottenham Hotspur, 4-0, West Bromwich Albion, 2017, 1, http://www.bbc.com/sport/football/38539373
Burnley, 1-0, Southampton, 2017, 1, http://www.bbc.com/sport/football/38539372
Hull City, 3-1, AFC Bournemouth, 2017, 1, http://www.bbc.com/sport/football/38539371
Sunderland, 1-3, Stoke City, 2017, 1, http://www.bbc.com/sport/football/38539374
Swansea City, 0-4, Arsenal, 2017, 1, http://www.bbc.com/sport/football/38539469
Watford, 0-0, Middlesbrough, 2017, 1, http://www.bbc.com/sport/football/38539448
West Ham United, 3-0, Crystal Palace, 2017, 1, http://www.bbc.com/sport/football/38539427
Leicester City, 0-3, Chelsea, 2017, 1, http://www.bbc.com/sport/football/38539716
Everton, 4-0, Manchester City, 2017, 1, http://www.bbc.com/sport/football/38545988
Manchester United, 1-1, Liverpool, 2017, 1, http://www.bbc.com/sport/football/38545987
Liverpool, 2-3, Swansea City, 2017, 1, http://www.bbc.com/sport/football/38620045
AFC Bournemouth, 2-2, Watford, 2017, 1, http://www.bbc.com/sport/football/38620044
Crystal Palace, 0-1, Everton, 2017, 1, http://www.bbc.com/sport/football/38620112
